Model,Test_R2,Test_MAE,Test_RMSE
Random Forest,-6.1473121179221355,21.21265135685423,49.438576285321105
Gradient Boosting,-12.075276907295818,28.30263300990442,66.868261046289
Neural Network,0.7976082393014601,6.100679177570811,8.31938065435974
Ensemble,-2.999609056195466,17.03554106067067,36.98310352591823
