Feature,Importance
Biomass,10.851224911483225
B11,8.984191544836643
B12,7.0163047628470565
B8,5.517241728487554
NDVI,1.9085839564701832
EVI,1.8382848917106709
B4,1.498439908121586
SAVI,0.8489925910970582
B3,0.72909505848095
NBR,0.35354581343514363
B2,0.2605484210386162
