NDVI,EVI,SAVI,NBR,B2,B3,B4,B8,B11,B12,Biomass_Mgha,Carbon_tonnes_ha
0.800141542816702,2.516022787965106,1.2000424568355506,0.5330279652844745,332.0,537.0,353.0,3179.5,1917.0,968.5,132.675659,62.35755972999999
0.480063847152811,1.347942316680251,0.7199741920960279,0.23684599567245015,556.5833333333334,722.0,769.75,2191.190476190476,1923.0,1352.0,11.0960054397583,5.215122556686401
0.37513859800418875,0.8009785353535354,0.5626385809312638,0.09270680372001958,753.0,1077.25,1268.0,2790.5,2990.0,2317.0,12.752772331237793,5.9938029956817624
0.38238192209157196,0.7365743787012198,0.5734975369458128,0.05986636671926945,632.5,950.5,1175.25,2630.5,3241.25,2333.333333333333,10.796686172485352,5.074442501068115
0.7222074113569715,1.727898966704937,1.0831667333066772,0.44680851063829785,325.0,583.0,521.0,3230.0,2258.0,1235.0,66.289833,31.156221509999998
0.5616158172831089,1.5852015779851825,0.842280163599182,0.34675878288990153,473.5,676.0,643.0,2290.5,1792.0,1111.0,22.69277572631836,10.665604591369629
0.4783821478382148,1.081745931626088,0.7174731557662809,0.1356331690593529,573.0,816.0,935.0,2650.0,2963.0,2017.0,25.573869705200195,12.019718761444091
0.4173562875852952,0.9440899097031125,0.6259387725477312,0.1261900136001554,589.6666666666666,815.5,953.125,2318.6,2546.6666666666665,1799.0,10.739827156066895,5.04771876335144
0.4084612504679896,0.8345764008414611,0.6126058677647279,0.10740699856496302,596.2,864.6666666666666,1053.3333333333333,2508.0,2802.5,2021.5,10.68592357635498,5.022384080886841
0.7218897637795275,2.1747793908340447,1.0826641473783656,0.41632124352331606,366.5,558.5,441.5,2733.5,2075.0,1126.5,130.976532,61.55897003999999
0.6959840690341852,2.6357466063348416,1.043802887008462,0.503825779870512,442.0,576.0,458.0,2555.0,1640.0,843.0,218.508957,102.69920979
0.47684069611780455,1.1494772169872207,0.715165305849284,0.13079130791307914,633.0,953.0,977.0,2758.0,2821.0,2120.0,1.0619250535964966,0.49910477519035334
0.32711387531467495,0.6073687104756668,0.49059816405093276,-0.0368619022031166,601.5,850.5,1136.0,2240.5,3124.5,2412.0,10.794103622436523,5.0732287025451654
0.5059974379876557,1.1366609114215456,0.7589077782952958,0.22427340717599167,642.5,1040.5,1060.5,3233.0,2961.0,2048.5,1.6303950548171997,0.7662856757640838
0.5609907120743034,1.4468221015649951,0.8413558272713202,0.34722778891115563,486.0,714.0,709.0,2521.0,1935.5,1221.5,25.24026870727539,11.862926292419433
0.4229103570563571,0.8687321117579652,0.6342830862953636,0.1100502355767731,628.75,912.25,1109.888888888889,2736.6153846153848,3145.6666666666665,2194.0,1.8878649473190308,0.8872965252399444
0.5354721281637136,1.2196242397306452,0.8031094241867784,0.2786236089301563,576.75,913.5384615384615,944.3,3121.333333333333,2824.25,1761.0,32.53129959106445,15.289710807800292
0.31492361927144535,0.7199462726662189,0.4723160522837421,0.07415406767458603,735.0,1000.0,1166.0,2238.0,2399.0,1929.0,0.30184799432754517,0.1418685573339462
0.5168782904924125,1.5819905213270142,0.77519739897817,0.4448377581120944,599.0,869.0,780.0,2449.0,1656.0,941.0,11.037188529968262,5.187478609085082
0.4200477326968974,0.9742895805142083,0.6299880684077953,0.11226503271367744,690.0,948.25,1093.5,2677.5,2923.5,2137.0,18.576082229614258,8.7307586479187
0.5712228242233043,1.552180395080134,0.8567167249537132,0.39122514042811596,560.0,833.1666666666667,781.5,2863.75,1846.0,1253.125,10.943279266357422,5.143341255187988
0.6620803522289488,2.110526315789474,0.9929839042509286,0.37585421412300685,514.0,721.0,614.0,3020.0,2257.0,1370.0,93.367157,43.88256379
0.3792172739541161,0.9106228530688962,0.5687491566590204,0.1399888455103179,746.5,1026.0,1150.0,2555.0,2537.0,1927.5,11.24436092376709,5.2848496341705316
0.6647295485024587,2.283944296539013,0.9969457687723481,0.4143562476262818,497.0,666.5,562.5,2793.0,1989.5,1156.5,47.58914566040039,22.36689846038818
0.4821124361158432,1.1732572459791977,0.7230599669355242,0.21428571428571427,562.25,841.6666666666666,861.3333333333334,2465.0,2404.75,1595.0,10.442843437194824,4.908136415481567
0.3505789603350579,0.5682583147926294,0.525803670402759,0.023716153127917833,585.2857142857143,921.5,1318.0,2741.0,3457.5,2614.0,23.302562713623047,10.952204475402832
0.2931697037312508,0.6309022034893026,0.43970004957858205,0.021643325825090588,863.5,1140.5,1425.5,2608.0,3174.5,2497.5,10.338996887207031,4.859328536987304
0.7406914893617021,2.1390168970814134,1.1108525843443577,0.5080645161290323,314.0,547.0,390.0,2618.0,1702.0,854.0,35.025733947753906,16.462094955444336
0.5340996168582376,1.5426326564488462,0.8009959777820341,0.29015627517319154,452.25,661.0,608.0,2002.0,1797.6666666666667,1101.5,14.875445365905762,6.991459321975707
0.2623481781376518,1.600790513833992,0.3933630109267503,0.3013355592654424,401.0,571.0,455.5,779.5,584.5,418.5,767.182373,360.57571530999996
0.17097306212204508,1.6902173913043477,0.2563891178895301,0.33626097867001253,684.0,930.0,754.0,1065.0,771.0,529.0,16.781579971313477,7.887342586517334
0.33992876929165017,0.7116425494311278,0.5098259034555527,0.023166800966962126,736.0,1020.5,1251.0,2539.5,3084.5,2424.5,10.283621788024902,4.833302240371704
